Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
427200,"Jamaica Plain, Boston, MA",3.0,2.0,3,53,7,4,4,15,178,40,29
324000,"Jamaica Plain, Boston, MA",1.0,1.0,1,42,7,5,5,17,157,32,28
455200,"Jamaica Plain, Boston, MA",4.0,1.5,3,53,8,4,4,16,159,36,23
264000,"Jamaica Plain, Boston, MA",1.0,1.0,1,42,10,9,9,28,280,39,42
480000,"Jamaica Plain, Boston, MA",3.0,2.0,2,42,9,8,8,25,190,33,28
704000,"Jamaica Plain, Boston, MA",5.0,2.0,5,42,3,3,3,9,113,24,21
384000,"Jamaica Plain, Boston, MA",2.0,1.0,2,42,9,7,7,23,190,33,29
336000,"Jamaica Plain, Boston, MA",1.0,1.0,2,42,9,7,7,23,190,33,29
400000,"Jamaica Plain, Boston, MA",2.0,1.0,2,42,8,6,6,20,160,32,29
400000,"Jamaica Plain, Boston, MA",2.0,1.0,1,42,2,2,2,6,75,17,16
480000,"Jamaica Plain, Boston, MA",3.0,1.5,1,42,9,8,8,25,275,38,42
591200,"Jamaica Plain, Boston, MA",4.0,1.0,3,42,6,2,2,10,119,25,24
367200,"Jamaica Plain, Boston, MA",2.0,1.0,3,53,8,4,4,16,178,40,29
400000,"Jamaica Plain, Boston, MA",2.0,1.0,2,42,9,7,7,23,190,33,29
351200,"Jamaica Plain, Boston, MA",2.0,1.0,3,53,7,4,4,15,178,40,29
400000,"Jamaica Plain, Boston, MA",2.0,1.0,1,42,3,2,2,7,97,17,17
624000,"Jamaica Plain, Boston, MA",5.0,2.0,1,42,2,2,2,6,71,18,17
632000,"Jamaica Plain, Boston, MA",5.0,2.0,1,42,1,1,0,2,80,16,20
608000,"Jamaica Plain, Boston, MA",5.0,2.0,1,42,10,8,8,26,192,33,28
416000,"Jamaica Plain, Boston, MA",2.0,1.0,1,42,9,8,8,25,285,34,49
384000,"Jamaica Plain, Boston, MA",2.0,1.0,1,42,3,2,2,7,97,17,17
543200,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,3,3,3,9,117,25,21
532000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,3,3,3,9,120,26,21
539200,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,4,3,3,10,110,24,21
540000,"Jamaica Plain, Boston, MA",3.0,1.0,5,42,4,4,4,12,106,23,19
527200,"Jamaica Plain, Boston, MA",3.0,1.0,5,42,4,4,4,12,106,23,19
504000,"Jamaica Plain, Boston, MA",3.0,1.0,1,42,9,8,8,25,285,34,49
416000,"Jamaica Plain, Boston, MA",3.0,1.0,1,66,1,1,0,2,83,21,20
480000,"Jamaica Plain, Boston, MA",3.0,1.0,2,42,10,8,8,26,191,33,30
624000,"Jamaica Plain, Boston, MA",4.0,1.0,2,42,10,8,8,26,190,33,28
