Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife,Median Household Income by Area,Median Age by Area,Total Population by Area,Occupied by Area,Vacant by Area,Work Commute Short by Area,Work Commute Average by Area,Work Commute Long by Area,Compare Median Sale Price
352000,Charlestown,2.0,1.0,1,56,2,2,2,6,427,68,150,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
344000,Charlestown,2.0,1.0,1,56,2,2,2,6,233,34,83,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
424000,Charlestown,3.0,1.0,1,56,2,2,2,6,245,38,82,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
367200,Charlestown,2.0,1.0,1,56,2,2,2,6,281,37,97,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
448000,Charlestown,3.0,1.0,2,56,2,2,2,6,459,69,161,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
504000,Charlestown,3.0,1.0,1,56,2,2,2,6,409,62,135,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
280000,Charlestown,1.0,1.0,1,56,2,3,3,8,511,74,181,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
440000,Charlestown,2.0,1.0,1,56,2,2,2,6,276,43,94,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
400000,Charlestown,2.0,1.0,1,56,1,2,2,5,258,38,93,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
440000,Charlestown,2.0,1.0,1,56,2,2,2,6,276,43,94,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
416000,Charlestown,2.0,1.0,1,56,2,2,2,6,376,64,125,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
440000,Charlestown,2.0,1.0,1,56,2,2,2,6,369,65,123,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
440000,Charlestown,2.0,1.0,1,56,2,2,2,6,369,65,123,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
480000,Charlestown,3.0,2.0,1,56,1,2,2,5,237,37,82,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
528000,Charlestown,3.0,2.0,1,56,2,2,2,6,358,66,123,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
672000,Charlestown,4.0,2.0,1,56,2,2,2,6,225,46,68,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,1
544000,Charlestown,3.0,2.0,1,56,2,2,2,6,323,54,105,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
360000,Charlestown,1.0,1.0,1,56,2,2,2,6,205,30,74,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
448000,Charlestown,2.0,2.0,1,56,2,2,2,6,348,64,112,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
448000,Charlestown,2.0,1.5,1,56,1,2,2,5,258,38,93,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
672000,Charlestown,4.0,2.0,1,56,2,2,2,6,225,46,68,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,1
400000,Charlestown,2.0,1.0,1,56,2,2,2,6,336,62,113,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
672000,Charlestown,4.0,2.0,1,56,2,2,2,6,225,46,68,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,1
480000,Charlestown,2.0,1.0,2,56,1,2,2,5,258,38,93,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
464000,Charlestown,3.0,2.0,1,56,2,2,2,6,294,38,99,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
464000,Charlestown,2.0,1.0,1,56,2,2,2,6,502,75,181,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
424000,Charlestown,2.0,1.0,3,56,2,2,2,6,459,69,161,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
424000,Charlestown,2.0,1.0,1,56,1,2,2,5,192,32,50,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
432000,Charlestown,2.0,1.0,1,56,2,2,2,6,323,54,105,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
464000,Charlestown,2.0,1.0,1,56,1,1,1,3,342,68,119,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
368000,Charlestown,1.0,1.0,1,56,2,2,2,6,458,71,168,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
400000,Charlestown,1.0,1.0,1,56,1,2,2,5,238,39,82,116870.3,42.6,36194,16111,1751,16765.0,210000.0,141285.0,0
