Day of Year,Year of Period End,Period Begin,Period End,Median Sale Ppsf (tooltip),Median Sale Ppsf Yoy (tooltip),Median Sale Ppsf Yoy,Median Sale Ppsf
332,2021,11/1/2021,11/28/2021,$349.37 ,11.61%,0.116082276,$349 
337,2023,11/6/2023,12/3/2023,$385.45 ,7.85%,0.078477342,$385 
338,2022,11/7/2022,12/4/2022,$357.41 ,2.77%,0.027650292,$357 
339,2021,11/8/2021,12/5/2021,$347.79 ,10.32%,0.103206355,$348 
344,2023,11/13/2023,12/10/2023,$384.61 ,8.78%,0.087750786,$385 
345,2022,11/14/2022,12/11/2022,$353.59 ,1.15%,0.011496107,$354 
346,2021,11/15/2021,12/12/2021,$349.57 ,11.38%,0.11379848,$350 
351,2023,11/20/2023,12/17/2023,$386.40 ,9.56%,0.095594057,$386 
352,2022,11/21/2022,12/18/2022,$352.68 ,-0.19%,-0.001901658,$353 
353,2021,11/22/2021,12/19/2021,$353.36 ,13.50%,0.134997937,$353 
358,2023,11/27/2023,12/24/2023,$387.23 ,8.26%,0.082554101,$387 
359,2022,11/28/2022,12/25/2022,$357.70 ,1.31%,0.013120935,$358 
360,2021,11/29/2021,12/26/2021,$353.07 ,13.74%,0.137370453,$353 
365,2023,12/4/2023,12/31/2023,$387.21 ,9.39%,0.093949223,$387 
